seq,step,line,depth,walls_before,sum_span_px_before,components_before,dangling_count_before,junction_count_before,cells_before,closed_area_px2_before,walls_after,sum_span_px_after,components_after,dangling_count_after,junction_count_after,cells_after,closed_area_px2_after,max_matched_endpoint_displacement_px,added_coverage_outside_1px_px,removed_coverage_outside_1px_px
1,_opening_requires_wall,1196,0,45,5438.73282623291,5,79,40,5,18097.531364733528,45,5438.73282623291,5,79,40,5,18097.531364733528,0,0.0,0.0
2,_close_all_gaps,1210,0,45,5438.73282623291,5,79,40,5,18097.531364733528,29,4330.369250742594,1,11,24,9,135572.92708884817,96.98349627656137,647.677961516672,1082.8777861711849
3,_snap_merge,864,1,46,5442.56608581543,6,81,40,5,18097.531364733528,29,4330.369250742594,1,11,24,9,135572.92708884817,96.98349627656137,645.2257734124604,1082.8777861711849
4,_seal_wall_gaps,1220,0,29,4330.369250742594,1,11,24,9,135572.92708884817,29,4330.369250742594,1,11,24,9,135572.92708884817,0,0.0,0.0
5,_merge_collinear_walls,1222,0,29,4330.369250742594,1,11,24,9,135572.92708884817,29,4330.369250742594,1,11,24,9,135572.92708884817,0,0.0,0.0
6,_patch_wall_holes,1225,0,29,4330.369250742594,1,11,24,9,135572.92708884817,35,5264.257376632531,6,23,26,10,240085.4880148996,0,930.2954632919287,0.0
7,_close_topology_gaps,1226,0,35,5264.257376632531,6,23,26,10,240085.4880148996,30,5332.468408443835,1,3,31,16,293867.99304754497,43.81831102260241,1534.3719568125757,1475.6607042168184
8,_snap_merge,3146,1,38,5344.125528549035,6,24,29,11,240085.4880148996,30,5332.468408443835,1,3,31,16,293867.99304754497,43.81831102260241,1501.1746422984156,1520.3315416191622
9,_process_wall_graph,1227,0,30,5332.468408443835,1,3,31,16,293867.99304754497,63,5332.468408443835,1,3,31,16,293867.99304754497,91.73819723517178,0.0,0.0
10,_snap_merge,1823,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
11,_filter_staircase_walls,1824,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
12,_heal,1825,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
13,_snap_to_structural,1826,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
14,_infer_walls_from_openings,1827,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
15,_bridge_openings,1833,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
16,_snap_anchors,1834,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
17,_snap_merge,1835,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
18,_clip_to_boundary,1841,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
19,_filter_structural,1842,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
20,_snap_anchors,1843,1,30,5332.468408443835,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
21,_split_at_junctions,1844,1,30,5332.468408443835,1,3,31,16,293867.99304754497,63,5332.468408443835,1,3,31,16,293867.99304754497,91.73819723517178,0.0,0.0
22,_filter_walls_by_rooms,1234,0,63,5332.468408443835,1,3,31,16,293867.99304754497,63,5332.468408443835,1,3,31,16,293867.99304754497,0,0.0,0.0
23,_heal_wall_corners,1236,0,63,5332.468408443835,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,33.25416564941409,0.0,0.0
24,_connect_openings_to_walls,1238,0,63,5469.989232876208,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,0,0.0,0.0
25,_force_connect_broken,1239,0,63,5469.989232876208,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,0,0.0,0.0
26,_extend_walls_at_junctions,1241,0,63,5469.989232876208,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,0,0.0,0.0
27,_heal_wall_corners,1243,0,63,5469.989232876208,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,0,0.0,0.0
28,_restore_verified_yolo_walls,1245,0,63,5469.989232876208,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,0,0.0,0.0
29,_fill_boundary_gaps,1251,0,63,5469.989232876208,1,3,31,16,293867.99304754497,63,5469.989232876208,1,3,31,16,293867.99304754497,0,0.0,0.0
30,_merge_collinear_walls,1254,0,63,5469.989232876208,1,3,31,16,293867.99304754497,30,5332.468408443835,1,3,31,16,293867.99304754497,91.73819723517178,0.0,0.0
31,_split_at_junctions,1257,0,30,5332.468408443835,1,3,31,16,293867.99304754497,63,5332.468408443835,1,3,31,16,293867.99304754497,91.73819723517178,0.0,0.0
